"sample_name","phenotype_label","neighbor_phenotype_label","mean_distance_um","stderr_distance_um","region_label"
"MEL2","SOX10+ PDL1+","OTHER PDL1+",14.1703066591125,0.612153335970657,"Margin"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1-",15.4342843651072,0.940104326478432,"Margin"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1+",0,0,"Margin"
"MEL3","CD8+ PD1-","CD8+ PD1-",0,0,"Margin"
"MEL3","CD8+ PD1-","CD8+ PD1+",NA,NA,"Margin"
"MEL3","CD8+ PD1-","OTHER PDL1-",10.1092743000849,1.19326269154359,"Margin"
"MEL3","CD8+ PD1-","OTHER PDL1+",21.926860455444,2.97492371979118,"Margin"
"MEL3","CD8+ PD1-","SOX10+ PDL1-",39.7818380791736,5.60488650800045,"Margin"
"MEL3","CD8+ PD1-","SOX10+ PDL1+",19.3569366225259,1.89586892514369,"Margin"
"MEL3","CD8+ PD1+","CD8+ PD1-",NA,NA,"Margin"
"MEL3","CD8+ PD1+","CD8+ PD1+",0,0,"Margin"
"MEL3","CD8+ PD1+","OTHER PDL1-",11.2432652496459,0.894214462708544,"Margin"
"MEL3","CD8+ PD1+","OTHER PDL1+",21.5874431511336,2.16704727490374,"Margin"
"MEL3","CD8+ PD1+","SOX10+ PDL1-",24.6186807270142,2.5052172520934,"Margin"
"MEL3","CD8+ PD1+","SOX10+ PDL1+",20.8125869483212,1.66530199129425,"Margin"
"MEL3","OTHER PDL1-","CD8+ PD1-",43.2488317714108,1.76388448901641,"Margin"
"MEL3","OTHER PDL1-","CD8+ PD1+",47.4478749562893,2.07716636309094,"Margin"
"MEL3","OTHER PDL1-","OTHER PDL1-",0,0,"Margin"
"MEL3","OTHER PDL1-","OTHER PDL1+",31.5799517866351,1.18023736557776,"Margin"
"MEL3","OTHER PDL1-","SOX10+ PDL1-",24.8021763765202,0.946937577653147,"Margin"
"MEL3","OTHER PDL1-","SOX10+ PDL1+",24.4618760819806,0.577137550596504,"Margin"
"MEL3","OTHER PDL1+","CD8+ PD1-",27.4408381121308,2.56697295615447,"Margin"
"MEL3","OTHER PDL1+","CD8+ PD1+",23.5923348696135,2.02498036237678,"Margin"
"MEL3","OTHER PDL1+","OTHER PDL1-",11.9646001771159,0.76690612672916,"Margin"
"MEL3","OTHER PDL1+","OTHER PDL1+",0,0,"Margin"
"MEL3","OTHER PDL1+","SOX10+ PDL1-",37.5986192964774,2.50114111999192,"Margin"
"MEL3","OTHER PDL1+","SOX10+ PDL1+",14.2967355821445,0.890133425097574,"Margin"
"MEL3","SOX10+ PDL1-","CD8+ PD1-",63.4796823835011,2.3331757816032,"Margin"
"MEL3","SOX10+ PDL1-","CD8+ PD1+",70.5506388027611,2.13336783940102,"Margin"
